"cell" "total_reads" "aligned_reads" "sample" "cell_id" "pct_aligned" "detection" "geo_accession" "sampleName" "sampleType" "tumorName" "cellType" "subType" "includeSample" "Run" "avgLength" "Experiment" "Sample" "BioSample" "download_path" "instrument" "runID" "fcID" "fcLane" "tile" "xtile" "ytile" "detection_rate" "b0" "b1"
"MGH26_GSM1395502" 1315789 316488 "MGH26" "MGH26_GSM1395502" 0.240530966591148 4378 "GSM1395502" "MGH26-2_A08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294595" 50 "SRX549209" "SRS616962" "SAMN02796679" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294595" "HISEQ" "704" "H759HADXX" "2" "1101" "2715" "2131" 0.242860644686849 -3.5126625 0.67332226
"MGH26_GSM1395504" 1605926 203707 "MGH26" "MGH26_GSM1395504" 0.126847065182331 5423 "GSM1395504" "MGH26-2_A10" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294597" 50 "SRX549211" "SRS616964" "SAMN02796688" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294597" "HISEQ" "704" "H759HADXX" "2" "1101" "1228" "2044" 0.298259590636107 -3.213382 0.67643432
"MGH26_GSM1395505" 3552459 509041 "MGH26" "MGH26_GSM1395505" 0.143292575649712 6805 "GSM1395505" "MGH26-2_A11" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294598" 50 "SRX549212" "SRS616965" "SAMN02796680" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294598" "HISEQ" "704" "H759HADXX" "2" "1101" "1214" "2145" 0.328226498345385 -3.0305775 0.67606846
"MGH26_GSM1395507" 3989273 882338 "MGH26" "MGH26_GSM1395507" 0.221177643144503 6507 "GSM1395507" "MGH26-2_B01" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294600" 50 "SRX549214" "SRS616967" "SAMN02796687" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294600" "HISEQ" "704" "H759HADXX" "2" "1101" "1188" "2146" 0.288699595538669 -3.3536456 0.68125237
"MGH26_GSM1395508" 5109888 1539316 "MGH26" "MGH26_GSM1395508" 0.301242610405551 6784 "GSM1395508" "MGH26-2_B02" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294601" 50 "SRX549215" "SRS616968" "SAMN02796684" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294601" "HISEQ" "704" "H759HADXX" "2" "1101" "1427" "2114" 0.283674469910528 -3.5978518 0.70374195
"MGH26_GSM1395509" 2770980 115980 "MGH26" "MGH26_GSM1395509" 0.0418552281142412 6480 "GSM1395509" "MGH26-2_B03" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294602" 50 "SRX549216" "SRS616969" "SAMN02796690" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294602" "HISEQ" "704" "H759HADXX" "2" "1101" "1288" "2092" 0.334599828410344 -2.7095605 0.59901087
"MGH26_GSM1395510" 5442464 1320998 "MGH26" "MGH26_GSM1395510" 0.242720576562381 6398 "GSM1395510" "MGH26-2_B04" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294603" 50 "SRX549217" "SRS616970" "SAMN02796689" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294603" "HISEQ" "704" "H759HADXX" "2" "1101" "1115" "2202" 0.273072680475549 -3.3470809 0.67577227
"MGH26_GSM1395511" 5094779 739701 "MGH26" "MGH26_GSM1395511" 0.145188044466698 7380 "GSM1395511" "MGH26-2_B05" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294604" 50 "SRX549218" "SRS616971" "SAMN02796692" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294604" "HISEQ" "704" "H759HADXX" "2" "1101" "1196" "2081" 0.323017526657679 -3.0322089 0.66985229
"MGH26_GSM1395512" 3572120 283975 "MGH26" "MGH26_GSM1395512" 0.0794976092628467 7213 "GSM1395512" "MGH26-2_B06" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294605" 50 "SRX549219" "SRS616972" "SAMN02796691" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294605" "HISEQ" "704" "H759HADXX" "2" "1101" "1551" "2239" 0.379213138865057 -2.3498429 0.58571631
"MGH26_GSM1395516" 986359 318788 "MGH26" "MGH26_GSM1395516" 0.323196726546825 3521 "GSM1395516" "MGH26-2_B10" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294609" 50 "SRX549223" "SRS616975" "SAMN02796696" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294609" "HISEQ" "704" "H759HADXX" "2" "1101" "1813" "2129" 0.192609388405442 -4.0546596 0.67344767
"MGH26_GSM1395517" 145115 34161 "MGH26" "MGH26_GSM1395517" 0.235406401819247 3104 "GSM1395517" "MGH26-2_B11" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294610" 50 "SRX549224" "SRS616976" "SAMN02796694" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294610" "HISEQ" "704" "H759HADXX" "2" "1101" "3598" "2038" 0.175327858806226 -4.5030403 0.71853837
"MGH26_GSM1395519" 2633756 737375 "MGH26" "MGH26_GSM1395519" 0.27997088568569 4682 "GSM1395519" "MGH26-2_C01" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294612" 50 "SRX549226" "SRS616980" "SAMN02796704" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294612" "HISEQ" "704" "H759HADXX" "2" "1101" "1327" "2132" 0.213935531315112 -3.7222299 0.635526
"MGH26_GSM1395521" 3786872 267364 "MGH26" "MGH26_GSM1395521" 0.0706028616758105 5433 "GSM1395521" "MGH26-2_C03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294614" 50 "SRX549228" "SRS616981" "SAMN02796701" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294614" "HISEQ" "704" "H759HADXX" "2" "1101" "1230" "2150" 0.28643216080402 -2.8549718 0.57391219
"MGH26_GSM1395522" 4617026 650761 "MGH26" "MGH26_GSM1395522" 0.140948090827299 6567 "GSM1395522" "MGH26-2_C04" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294615" 50 "SRX549229" "SRS616982" "SAMN02796708" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294615" "HISEQ" "704" "H759HADXX" "2" "1101" "1130" "2183" 0.284409854148793 -3.40507 0.70413474
"MGH26_GSM1395523" 4056843 1136816 "MGH26" "MGH26_GSM1395523" 0.280221837522428 7532 "GSM1395523" "MGH26-2_C05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294616" 50 "SRX549230" "SRS616986" "SAMN02796700" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294616" "HISEQ" "704" "H759HADXX" "2" "1101" "1986" "2095" 0.347959308738816 -3.2471829 0.75866103
"MGH26_GSM1395526" 4177609 342901 "MGH26" "MGH26_GSM1395526" 0.0820806829935497 7782 "GSM1395526" "MGH26-2_C08" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294619" 50 "SRX549233" "SRS616985" "SAMN02796703" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294619" "HISEQ" "704" "H759HADXX" "2" "1101" "1361" "2133" 0.404645177105037 -2.2078598 0.59447179
"MGH26_GSM1395530" 3917418 395601 "MGH26" "MGH26_GSM1395530" 0.100985138680631 5528 "GSM1395530" "MGH26-2_C12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294623" 50 "SRX549237" "SRS616989" "SAMN02796710" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294623" "HISEQ" "704" "H759HADXX" "2" "1101" "1577" "2054" 0.295747027822037 -3.0061653 0.62904772
"MGH26_GSM1395531" 2475249 352031 "MGH26" "MGH26_GSM1395531" 0.142220439236618 6790 "GSM1395531" "MGH26-2_D01" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294624" 50 "SRX549238" "SRS616990" "SAMN02796709" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294624" "HISEQ" "704" "H759HADXX" "2" "1101" "1321" "2167" 0.367630837112391 -2.8448729 0.72586883
"MGH26_GSM1395532" 4972210 1418876 "MGH26" "MGH26_GSM1395532" 0.285361237759467 5856 "GSM1395532" "MGH26-2_D02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294625" 50 "SRX549239" "SRS616991" "SAMN02796752" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294625" "HISEQ" "704" "H759HADXX" "2" "1101" "1387" "2233" 0.225579115087633 -3.5915783 0.63378643
"MGH26_GSM1395533" 3114124 337886 "MGH26" "MGH26_GSM1395533" 0.108501138682981 7994 "GSM1395533" "MGH26-2_D03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294626" 50 "SRX549240" "SRS616993" "SAMN02796745" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294626" "HISEQ" "704" "H759HADXX" "2" "1101" "1093" "2144" 0.424010295379336 -2.4484915 0.66415042
"MGH26_GSM1395534" 2902615 253702 "MGH26" "MGH26_GSM1395534" 0.0874046334081509 7090 "GSM1395534" "MGH26-2_D04" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294627" 50 "SRX549241" "SRS616995" "SAMN02796749" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294627" "HISEQ" "704" "H759HADXX" "2" "1101" "1132" "2242" 0.37480083343547 -2.4779186 0.6155701
"MGH26_GSM1395535" 4706926 1768757 "MGH26" "MGH26_GSM1395535" 0.375777524439517 7147 "GSM1395535" "MGH26-2_D05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294628" 50 "SRX549242" "SRS616994" "SAMN02796712" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294628" "HISEQ" "704" "H759HADXX" "2" "1101" "1168" "2102" 0.289925235935776 -3.8170017 0.79391068
"MGH26_GSM1395538" 1830175 408615 "MGH26" "MGH26_GSM1395538" 0.223265534716625 5364 "GSM1395538" "MGH26-2_D08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294631" 50 "SRX549245" "SRS617003" "SAMN02796742" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294631" "HISEQ" "704" "H759HADXX" "2" "1101" "1345" "2212" 0.297401642358132 -3.2228162 0.67129489
"MGH26_GSM1395539" 2369242 619813 "MGH26" "MGH26_GSM1395539" 0.261608143026335 6022 "GSM1395539" "MGH26-2_D09" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294632" 50 "SRX549246" "SRS616998" "SAMN02796747" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294632" "HISEQ" "704" "H759HADXX" "2" "1101" "1171" "2116" 0.283245495771541 -3.3867214 0.68782207
"MGH26_GSM1395540" 2137218 580008 "MGH26" "MGH26_GSM1395540" 0.271384575649279 5651 "GSM1395540" "MGH26-2_D10" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294633" 50 "SRX549247" "SRS616999" "SAMN02796754" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294633" "HISEQ" "704" "H759HADXX" "2" "1101" "1229" "2128" 0.309535482289496 -3.308769 0.68064808
"MGH26_GSM1395542" 2772056 255803 "MGH26" "MGH26_GSM1395542" 0.0922791603055638 7326 "GSM1395542" "MGH26-2_D12" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294635" 50 "SRX549249" "SRS617001" "SAMN02796750" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294635" "HISEQ" "704" "H759HADXX" "2" "1101" "1415" "2056" 0.386138007108714 -2.7231547 0.70784417
"MGH26_GSM1395543" 4182915 132929 "MGH26" "MGH26_GSM1395543" 0.0317790344771529 6114 "GSM1395543" "MGH26-2_E01" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294636" 50 "SRX549250" "SRS617002" "SAMN02796755" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294636" "HISEQ" "704" "H759HADXX" "2" "1101" "1287" "2199" 0.322282142419414 -2.5317328 0.54791906
"MGH26_GSM1395545" 2589567 120840 "MGH26" "MGH26_GSM1395545" 0.0466641720411173 7659 "GSM1395545" "MGH26-2_E03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294638" 50 "SRX549252" "SRS617005" "SAMN02796753" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294638" "HISEQ" "704" "H759HADXX" "2" "1101" "2068" "2147" 0.395514156146587 -2.3488733 0.59832222
"MGH26_GSM1395547" 2950268 822741 "MGH26" "MGH26_GSM1395547" 0.278869919614083 5272 "GSM1395547" "MGH26-2_E05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294640" 50 "SRX549254" "SRS617006" "SAMN02796758" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294640" "HISEQ" "704" "H759HADXX" "2" "1101" "1939" "2110" 0.236242186542468 -3.7430354 0.68105689
"MGH26_GSM1395548" 3384087 853578 "MGH26" "MGH26_GSM1395548" 0.252232876991638 6868 "GSM1395548" "MGH26-2_E06" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294641" 50 "SRX549255" "SRS617007" "SAMN02796760" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294641" "HISEQ" "704" "H759HADXX" "2" "1101" "1390" "2140" 0.323814192915798 -3.4411463 0.76155777
"MGH26_GSM1395550" 4410350 415031 "MGH26" "MGH26_GSM1395550" 0.0941038693074246 8694 "GSM1395550" "MGH26-2_E08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294643" 50 "SRX549257" "SRS617010" "SAMN02796761" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294643" "HISEQ" "704" "H759HADXX" "2" "1101" "1284" "2134" 0.450116435837725 -2.1613645 0.64620109
"MGH26_GSM1395552" 4267356 299697 "MGH26" "MGH26_GSM1395552" 0.0702301378183587 8352 "GSM1395552" "MGH26-2_E10" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294645" 50 "SRX549259" "SRS617012" "SAMN02796759" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294645" "HISEQ" "704" "H759HADXX" "2" "1101" "1143" "2215" 0.428912856967766 -2.2214004 0.61064578
"MGH26_GSM1395554" 4740102 803503 "MGH26" "MGH26_GSM1395554" 0.169511753122612 8709 "GSM1395554" "MGH26-2_E12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294647" 50 "SRX549261" "SRS617015" "SAMN02796764" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294647" "HISEQ" "704" "H759HADXX" "2" "1101" "1274" "2159" 0.394901335948033 -2.8847591 0.71982659
"MGH26_GSM1395555" 4720292 244391 "MGH26" "MGH26_GSM1395555" 0.0517745512353897 7685 "GSM1395555" "MGH26-2_F01" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294648" 50 "SRX549262" "SRS617014" "SAMN02796767" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294648" "HISEQ" "704" "H759HADXX" "2" "1101" "1467" "2038" 0.392572619193529 -2.3285093 0.58097117
"MGH26_GSM1395556" 4285334 342022 "MGH26" "MGH26_GSM1395556" 0.0798122153372409 8076 "GSM1395556" "MGH26-2_F02" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294649" 50 "SRX549263" "SRS617016" "SAMN02796766" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294649" "HISEQ" "704" "H759HADXX" "2" "1101" "1123" "2078" 0.414389018262042 -2.304579 0.62209554
"MGH26_GSM1395557" 4550245 1065456 "MGH26" "MGH26_GSM1395557" 0.234153545578315 5346 "GSM1395557" "MGH26-2_F03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294650" 50 "SRX549264" "SRS617017" "SAMN02796765" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294650" "HISEQ" "704" "H759HADXX" "2" "1101" "1137" "2150" 0.232994239490134 -3.694588 0.65557772
"MGH26_GSM1395558" 5260479 514688 "MGH26" "MGH26_GSM1395558" 0.0978405198461965 6597 "GSM1395558" "MGH26-2_F04" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294651" 50 "SRX549265" "SRS617018" "SAMN02796772" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294651" "HISEQ" "704" "H759HADXX" "2" "1101" "1363" "2248" 0.268537811006251 -3.142035 0.61965905
"MGH26_GSM1395561" 2366865 119490 "MGH26" "MGH26_GSM1395561" 0.050484501650918 7543 "GSM1395561" "MGH26-2_F07" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294654" 50 "SRX549268" "SRS617021" "SAMN02796778" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294654" "HISEQ" "704" "H759HADXX" "2" "1101" "1632" "2180" 0.396801078563549 -2.4460286 0.6564938
"MGH26_GSM1395563" 3230071 837748 "MGH26" "MGH26_GSM1395563" 0.259359004802062 6310 "GSM1395563" "MGH26-2_F09" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294656" 50 "SRX549270" "SRS617023" "SAMN02796771" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294656" "HISEQ" "704" "H759HADXX" "2" "1101" "1681" "2196" 0.295072925603628 -3.3287981 0.70379349
"MGH26_GSM1395564" 1497887 141310 "MGH26" "MGH26_GSM1395564" 0.0943395596597073 6100 "GSM1395564" "MGH26-2_F10" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294657" 50 "SRX549271" "SRS617024" "SAMN02796779" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294657" "HISEQ" "704" "H759HADXX" "2" "1101" "1178" "2161" 0.328900600563795 -2.9937053 0.68140582
"MGH26_GSM1395566" 3466995 119075 "MGH26" "MGH26_GSM1395566" 0.0343453047956516 8194 "GSM1395566" "MGH26-2_F12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294659" 50 "SRX549273" "SRS617026" "SAMN02796774" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294659" "HISEQ" "704" "H759HADXX" "2" "1101" "1739" "2236" 0.413531069984067 -2.0707746 0.52814448
"MGH26_GSM1395567" 1228804 305818 "MGH26" "MGH26_GSM1395567" 0.248874515382437 5066 "GSM1395567" "MGH26-2_G01" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294660" 50 "SRX549274" "SRS617027" "SAMN02796780" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294660" "HISEQ" "704" "H759HADXX" "2" "1101" "1556" "2202" 0.282081137394289 -3.5717533 0.72378322
"MGH26_GSM1395568" 3876834 425159 "MGH26" "MGH26_GSM1395568" 0.109666547497262 6819 "GSM1395568" "MGH26-2_G02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294661" 50 "SRX549275" "SRS617028" "SAMN02796775" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294661" "HISEQ" "704" "H759HADXX" "2" "1101" "1112" "2242" 0.360951096948155 -2.8113566 0.66402845
"MGH26_GSM1395569" 2450464 169245 "MGH26" "MGH26_GSM1395569" 0.0690665114851718 7967 "GSM1395569" "MGH26-2_G03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294662" 50 "SRX549276" "SRS617029" "SAMN02796782" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294662" "HISEQ" "704" "H759HADXX" "2" "1101" "1549" "2147" 0.41573722269886 -2.4116749 0.67978844
"MGH26_GSM1395570" 4307882 506008 "MGH26" "MGH26_GSM1395570" 0.117460970379412 5637 "GSM1395570" "MGH26-2_G04" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294663" 50 "SRX549277" "SRS617030" "SAMN02796781" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294663" "HISEQ" "704" "H759HADXX" "2" "1101" "1328" "2112" 0.300894717489888 -3.1272105 0.65284839
"MGH26_GSM1395572" 1907216 151164 "MGH26" "MGH26_GSM1395572" 0.079258982726655 6732 "GSM1395572" "MGH26-2_G06" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294665" 50 "SRX549279" "SRS617032" "SAMN02796783" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294665" "HISEQ" "704" "H759HADXX" "2" "1101" "1431" "2091" 0.361441353106998 -2.6648391 0.63595695
"MGH26_GSM1395574" 3576400 347078 "MGH26" "MGH26_GSM1395574" 0.0970467509227156 8034 "GSM1395574" "MGH26-2_G08" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294667" 50 "SRX549281" "SRS617034" "SAMN02796776" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294667" "HISEQ" "704" "H759HADXX" "2" "1101" "1142" "2115" 0.422845937002084 -2.4042549 0.65733162
"MGH26_GSM1395575" 2301671 743148 "MGH26" "MGH26_GSM1395575" 0.322873251650649 7199 "GSM1395575" "MGH26-2_G09" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294668" 50 "SRX549282" "SRS617035" "SAMN02796784" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294668" "HISEQ" "704" "H759HADXX" "2" "1101" "1151" "2180" 0.330003676921191 -3.5087515 0.79029275
"MGH26_GSM1395576" 2253888 349565 "MGH26" "MGH26_GSM1395576" 0.15509421941108 5306 "GSM1395576" "MGH26-2_G10" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294669" 50 "SRX549283" "SRS617036" "SAMN02796787" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294669" "HISEQ" "704" "H759HADXX" "2" "1101" "1316" "2236" 0.290660620174041 -3.3020228 0.6775722
"MGH26_GSM1395577" 4891639 609909 "MGH26" "MGH26_GSM1395577" 0.1246839760661 7423 "GSM1395577" "MGH26-2_G11" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294670" 50 "SRX549284" "SRS617037" "SAMN02796788" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294670" "HISEQ" "704" "H759HADXX" "2" "1101" "1184" "2056" 0.337112391224415 -3.0220859 0.70131042
"MGH26_GSM1395578" 3573212 154245 "MGH26" "MGH26_GSM1395578" 0.0431670441048558 7176 "GSM1395578" "MGH26-2_G12" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294671" 50 "SRX549285" "SRS617039" "SAMN02796785" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294671" "HISEQ" "704" "H759HADXX" "2" "1101" "1207" "2040" 0.369836989827185 -2.3129661 0.5537084
"MGH26_GSM1395579" 3492919 333981 "MGH26" "MGH26_GSM1395579" 0.0956165888759516 4966 "GSM1395579" "MGH26-2_H01" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294672" 50 "SRX549286" "SRS617038" "SAMN02796791" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294672" "HISEQ" "704" "H759HADXX" "2" "1101" "1390" "2165" 0.265841402132614 -3.0215349 0.56731054
"MGH26_GSM1395580" 3991818 1101338 "MGH26" "MGH26_GSM1395580" 0.275898851099925 5473 "GSM1395580" "MGH26-2_H02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294673" 50 "SRX549287" "SRS617040" "SAMN02796789" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294673" "HISEQ" "704" "H759HADXX" "2" "1101" "1158" "2041" 0.236119622502758 -3.7112737 0.67439778
"MGH26_GSM1395581" 3253048 584697 "MGH26" "MGH26_GSM1395581" 0.179738202448903 7394 "GSM1395581" "MGH26-2_H03" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294674" 50 "SRX549288" "SRS617041" "SAMN02796790" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294674" "HISEQ" "704" "H759HADXX" "2" "1101" "1378" "2117" 0.343363157249663 -3.0334937 0.73037309
"MGH26_GSM1395582" 3726659 142712 "MGH26" "MGH26_GSM1395582" 0.0382948909465556 7369 "GSM1395582" "MGH26-2_H04" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294675" 50 "SRX549289" "SRS617043" "SAMN02796797" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294675" "HISEQ" "704" "H759HADXX" "2" "1101" "1486" "2137" 0.383748008334355 -2.32859 0.60810931
"MGH26_GSM1395586" 1952494 102666 "MGH26" "MGH26_GSM1395586" 0.0525819797653668 7594 "GSM1395586" "MGH26-2_H08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294679" 50 "SRX549293" "SRS617047" "SAMN02796793" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294679" "HISEQ" "704" "H759HADXX" "2" "1101" "1203" "2187" 0.39361441353107 -2.5129195 0.63116224
"MGH26_GSM1395588" 4368506 321331 "MGH26" "MGH26_GSM1395588" 0.0735562684359367 7820 "GSM1395588" "MGH26-2_H10" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294681" 50 "SRX549295" "SRS617048" "SAMN02796801" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294681" "HISEQ" "704" "H759HADXX" "2" "1101" "1099" "2168" 0.40832209829636 -2.3571872 0.63363085
"MGH26_GSM1395590" 5427821 288361 "MGH26" "MGH26_GSM1395590" 0.0531264756151686 7307 "GSM1395590" "MGH26-2_H12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294683" 50 "SRX549297" "SRS617050" "SAMN02796798" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294683" "HISEQ" "704" "H759HADXX" "2" "1101" "1333" "2096" 0.375781345753156 -2.3899967 0.57621273
